text,true_label,pred_label,probability
阔以阔以！赞一个，要凑够十个字哦,1,7,0.3211914300918579
京东客户端的客服非常差劲,4,1,0.5079014301300049
好好6666666666666666,4,1,0.4883654713630676
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.416141539812088
谢谢快递哥哥，老人家已经收到放在家里，辛苦你了快递哥!送上五楼!辛苦快递哥!,3,4,0.3358656167984009
下订单付款了 单没有现货 再次到货时已经降价100元 没有通知我 也没有退款 不知如何解决？,8,1,0.3845228850841522
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,4,0.4907107949256897
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,3,0.6685881018638611
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.6656525135040283
唉唉跟图片不符合 唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉,7,3,0.553204357624054
发货很快的，618之前买的降价了,1,4,0.6035041809082031
客服态度很好，妈妈收的，没有拆开，还不知质量，希望完好,5,1,0.29615169763565063
帮帮哒，和想象的一样，点个赞,1,4,0.3096578121185303
非常不错非常不错非常不错非常的好,7,1,0.5464539527893066
没有其他颜色选择。送货的圆通服务真是一般，只送到楼下，以前京东用邮政快递的送到到家门口的。,8,7,0.8676363229751587
硬件不错，从外观，做工多不错.,2,1,0.5054190754890442
服务真差！,9,7,0.6180455684661865
今天刚到，用段时间看看好不好在追加评价,1,4,0.7247912883758545
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.9664870500564575
宝贝不错，客服也很热情，赞一个,7,5,0.5786787867546082
感觉上当了，给母亲买的，回家一看！纯属伪劣产品！不值这个价！,1,4,0.4037783443927765
现在我越来越懒宁愿在京东超市买也不愿意去超市买东西啦。哎。,4,3,0.5975725650787354
非常好，比超市便宜多了。。送货速度很快。,3,4,0.9323993921279907
给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！    给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！,3,4,0.5756533145904541
这个差评是给京东快递的,4,1,0.6534557938575745
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.7825667858123779
等使用评价,1,5,0.9040014147758484
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,3,0.527455747127533
京东垃圾以后不会买京东的东西了。,4,1,0.6129702925682068
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.5000067353248596
物流配送超快，其他的一般,4,1,0.7112420201301575
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.8743226528167725
物流很快，拿到货看了后很满意,7,1,0.6377865672111511
东西非常不错，非常不错非常不错非常不错非常不错非常，，,3,1,0.37754619121551514
不好 很不好 售后态度一拖再拖，非常不满意！！！！！,7,1,0.4971664547920227
后来发现屏幕上有一个坏点，打客服X200要8个坏点才能退换，郁闷,8,1,0.776206910610199
一般般般般般般般般般,1,4,0.3118549585342407
东西都包装的很完好，京东小哥人也特别好，谢谢,3,4,0.6410858035087585
开始洗了，以前买过，这牌子很好的,7,4,0.9832046627998352
待机时间根本没有120小时，最多不超过48小时，相差甚远。,2,8,0.581455409526825
很好，送快递帅哥很好，看我抱娃，帮我直接拿到四楼，非常感谢帅哥。,3,1,0.4344423711299896
买了之后很快降价，所以差评，换谁心理都不舒服,1,4,0.5909087657928467
物流乌龟，速度太慢。,1,7,0.7030842900276184
第二次购买，可惜这次里面掺个小家伙。包装还好，没有损坏的。,3,4,0.8675736784934998
地摊货水平的包装，很受打击,7,4,0.6270331740379333
很好很好哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,3,1,0.6105667948722839
第三次购买了，价格好，质量也可以,1,5,0.4029638469219208
京东买的商品价廉物美，物超所值，推荐大家来购买。,7,3,0.4470638632774353
今天早上起床，就收到了快递薛师傅的电话，师傅人非常和蔼，为人不错，认真核对来取快递人的身份信息，非常小心谨慎，刚走出家门口，就看到了那熟悉的银色五菱宏光面包车，车牌号为陕A*****。我从师傅手中接过物品，师傅对我说帮我签字了，并且拿京东的验货仪器给我确认收款信息和金额，一手交钱,4,1,0.4191964864730835
挺早就看上它了，等了半个月等到618才买，只是物流慢了一天。,1,4,0.49713391065597534
夫学业在勤，故有锥股自厉；志于文也，则有申写郁滞。故宜从容率情，优柔适会。若销铄精胆，蹙迫和气，秉牍以驱龄，洒翰以伐性，岂圣贤之素心，会文之直理哉！    且夫思有利钝，时有通塞，沐则心覆，且或反常；神之方昏，再三愈黩。是以吐纳文艺，务在节宣，清和其心，调畅其气，烦而即舍，勿使壅滞，意得则舒怀以命笔，理伏则投笔以卷怀，逍遥以针劳，谈笑以药倦，常弄闲于才锋，贾馀于文勇，使刃发如新，腠理无滞，虽非胎息之万术，斯亦卫气之一方也。,3,0,0.9103501439094543
质量太差，一次就漏,7,4,0.8267799019813538
没有蓝牙，还有就是包装箱上写的很清楚是2个USB口，客服为什么总是回答说是3个USB口呢？再不改过来有点欺诈的嫌疑了,8,1,0.520621657371521
说实话，不一样的卡梅拉我和女儿都不喜欢，后悔了，5555555,0,3,0.7333826422691345
XP超难装，送货速度简直慢的没法说了，打了无数次客服电话都说马上处理马上处理，处理了几天才给我送过来,8,5,0.4586518704891205
昨天刚买的*今天就成了*？有这么坑人的吗一天一个价？,3,4,0.8929765224456787
送货及时，比超市便宜很多，方便快捷，还会继续购买,3,4,0.9148023724555969
不怎么样有点后悔买了,7,1,0.4136810302734375
非常不愉快的一次购物经历，京东自己送错货了，对于退换货还拖拖拉拉，一点诚意都没有，枉为大公司了，只想吐槽垃圾。,1,4,0.4281598925590515
