text,true_label,pred_label,probability
服务太差，没有收到货，系统显示收货，至今未处理,4,1,0.3331991732120514
京东客户端的客服非常差劲,4,1,0.45279064774513245
好好6666666666666666,4,3,0.42217394709587097
可以，和想象中的差不多,1,7,0.6956220865249634
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,3,0.3170856833457947
用了几天，感觉不错，无线、蓝牙、摄像头等基本功能都有，对于上网本足够用了。在京东买省事，放心些，送来都是未拆封的。,8,1,0.5884275436401367
下订单付款了 单没有现货 再次到货时已经降价100元 没有通知我 也没有退款 不知如何解决？,8,1,0.34107932448387146
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,3,0.52091383934021
很差很差，感觉很山寨，一买完就降价，服了,4,7,0.43035879731178284
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,3,0.6223178505897522
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.7392414808273315
唉唉跟图片不符合 唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉,7,4,0.604512631893158
发货很快的，618之前买的降价了,1,4,0.8476603627204895
客服态度很好，妈妈收的，没有拆开，还不知质量，希望完好,5,4,0.35266244411468506
帮帮哒，和想象的一样，点个赞,1,4,0.43896999955177307
非常不错非常不错非常不错非常的好,7,1,0.668694019317627
分量足，包装好，物流快，价格优，非常棒！感谢京东！,4,3,0.7940728068351746
硬件不错，从外观，做工多不错.,2,8,0.8875605463981628
服务真差！,9,7,0.4387529492378235
今天刚到，用段时间看看好不好在追加评价,1,4,0.6530425548553467
性价比很高，价位挺合适，挺喜欢清扬，比较适合自己,4,8,0.36021679639816284
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.8983541131019592
618活动买的，性价比不错，满意！,4,1,0.35007545351982117
感觉上当了，给母亲买的，回家一看！纯属伪劣产品！不值这个价！,1,4,0.4189518392086029
第二次买了，商品质量还不错，物流也很给力，京东加油↖(^ω^)↗,3,4,0.5110787749290466
非常好，比超市便宜多了。。送货速度很快。,3,4,0.738909125328064
给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！    给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！,3,4,0.6603368520736694
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.8355308175086975
等使用评价,1,5,0.556607186794281
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,3,0.8167054057121277
京东商城值得信赖！有问题管换，痛快！快递小哥服务也好！没话说,1,3,0.5478421449661255
太坑了，前两天88，这两天就69，价格变化也太大了吧,4,1,0.429718941450119
京东垃圾以后不会买京东的东西了。,4,1,0.4372754693031311
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.5758154988288879
一无商标，二发货慢，三还是假货，差评都没你垃圾,7,4,0.6822874546051025
可以用不到的。紧来？,1,4,0.589379608631134
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.445902556180954
同学买的，看起来很不错！ 性价比还行！ 到现在还没出现质量问题！ 后续在评价！ 买京东自营要的就是送货速度,1,3,0.5920740365982056
废品 劝大家不要买,7,1,0.4634327292442322
后来发现屏幕上有一个坏点，打客服X200要8个坏点才能退换，郁闷,8,1,0.978408694267273
不满意，难道一点防护措施都没有吗？难怪上一个回漏。脏兮兮的都是划痕真服了。,4,1,0.8369267582893372
用了一段时间了，感觉很好。这个配置够用了。,1,8,0.546341598033905
一般般般般般般般般般,1,7,0.289743036031723
