bin,lower,upper,count,accuracy,confidence,gap,stage
1,0.0,0.10000000149011612,0,,,,before
2,0.10000000149011612,0.20000000298023224,0,,,,before
3,0.20000000298023224,0.30000001192092896,3,0.6666666865348816,0.28356096148490906,0.38310572504997253,before
4,0.30000001192092896,0.4000000059604645,12,0.1666666716337204,0.35272982716560364,0.18606315553188324,before
5,0.4000000059604645,0.5,30,0.36666667461395264,0.45713430643081665,0.09046763181686401,before
6,0.5,0.6000000238418579,90,0.4888888895511627,0.5518831610679626,0.06299427151679993,before
7,0.6000000238418579,0.699999988079071,82,0.5487805008888245,0.6522307991981506,0.10345029830932617,before
8,0.699999988079071,0.800000011920929,94,0.6382978558540344,0.7534581422805786,0.11516028642654419,before
9,0.800000011920929,0.8999999761581421,160,0.706250011920929,0.8557432293891907,0.14949321746826172,before
10,0.8999999761581421,1.0,9529,0.9891908764839172,0.9967664480209351,0.007575571537017822,before
1,0.0,0.10000000149011612,0,,,,after
2,0.10000000149011612,0.20000000298023224,0,,,,after
3,0.20000000298023224,0.30000001192092896,6,0.5,0.2766708433628082,0.22332915663719177,after
4,0.30000001192092896,0.4000000059604645,15,0.20000000298023224,0.3567125201225281,0.15671251714229584,after
5,0.4000000059604645,0.5,44,0.40909090638160706,0.46005943417549133,0.05096852779388428,after
6,0.5,0.6000000238418579,95,0.5157894492149353,0.5495604872703552,0.03377103805541992,after
7,0.6000000238418579,0.699999988079071,92,0.5652173757553101,0.6460655331611633,0.08084815740585327,after
8,0.699999988079071,0.800000011920929,124,0.6935483813285828,0.7514830231666565,0.05793464183807373,after
9,0.800000011920929,0.8999999761581421,186,0.7365591526031494,0.854651153087616,0.11809200048446655,after
10,0.8999999761581421,1.0,9438,0.9912057518959045,0.9949361085891724,0.0037303566932678223,after
