text,true_label,pred_label,probability
阔以阔以！赞一个，要凑够十个字哦,1,3,0.30772554874420166
京东客户端的客服非常差劲,4,1,0.49075931310653687
好好6666666666666666,4,1,0.45432236790657043
可以，和想象中的差不多,1,7,0.5900858044624329
查了下，2010年开始在京东网购，买的东西不少，从没有评论过！这是第一次！,1,4,0.5370956659317017
质量没得说， 送货服务态度也超级棒呢！每次都是在京东上面买，而且非常实惠，推荐购买,1,3,0.49775204062461853
一般，不达标，不达标，服务差,9,7,0.6602394580841064
支持花花公子，支持京东，小哥服务没的说，下一次惠顾。,7,3,0.6008951663970947
我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上…,3,4,0.7392789721488953
发货很快的，618之前买的降价了,1,4,0.7056410908699036
非常不错非常不错非常不错非常的好,7,1,0.36011025309562683
分量足，包装好，物流快，价格优，非常棒！感谢京东！,4,3,0.48961755633354187
硬件不错，从外观，做工多不错.,2,9,0.34125402569770813
包装，存储，运输等技术都非常棒。,3,4,0.38104671239852905
服务真差！,9,7,0.6823288798332214
发货速度慢！好不容易收到了结果商品还给发错了！！！还得申请换货，来回还得半个多月时间！！！,7,4,0.32906535267829895
给个中肯的评价，包装不错，速度也快，就是价格比超市贵,3,4,0.851413369178772
宝贝不错，客服也很热情，赞一个,7,5,0.6948528289794922
感觉上当了，给母亲买的，回家一看！纯属伪劣产品！不值这个价！,1,4,0.35915446281433105
第二次买了，商品质量还不错，物流也很给力，京东加油↖(^ω^)↗,3,4,0.39298540353775024
非常好，比超市便宜多了。。送货速度很快。,3,4,0.8563184142112732
给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！    给媳妇买的，送货到家还是会让人很满意的效果好好的，以后有机会会还要再来购买！,3,4,0.8446604013442993
京东就是快，用了优惠券，不错！！！！！！！,1,4,0.850527822971344
很差，差的不要不要的，价格不稳定，变来变去的，真是服了,4,7,0.44036799669265747
京东商城值得信赖！有问题管换，痛快！快递小哥服务也好！没话说,1,4,0.4621923565864563
太坑了，前两天88，这两天就69，价格变化也太大了吧,4,1,0.4211805760860443
什么都好，就是有点小。该买十寸的。,1,3,0.41148146986961365
包装好。送货快。一直选择京东的原因。京东加油。,3,4,0.523460328578949
一无商标，二发货慢，三还是假货，差评都没你垃圾,7,4,0.5467801690101624
这中通快递的速度也太墨迹了吧，25日早上七点发往北京，现在才送到，2个节日都过去了…不过对我朋友来讲也算是迟来的惊喜！,3,8,0.6367073655128479
物流很快，拿到货看了后很满意,7,4,0.359200656414032
东西非常不错，非常不错非常不错非常不错非常不错非常，，,3,1,0.33400532603263855
我想说 确实很快 什么都好 除了这个推脱责任的态度 不就一个赠品吗 要不要都行,4,1,0.5074883103370667
一般般般般般般般般般,1,7,0.3430183231830597
东西都包装的很完好，京东小哥人也特别好，谢谢,3,4,0.5947669744491577
开始洗了，以前买过，这牌子很好的,7,4,0.9093653559684753
收到货了，物流送错地方迟了一天，以后长点心吧,1,4,0.5447463393211365
很好，送快递帅哥很好，看我抱娃，帮我直接拿到四楼，非常感谢帅哥。,3,4,0.31585413217544556
买了之后很快降价，所以差评，换谁心理都不舒服,1,4,0.5984744429588318
物流乌龟，速度太慢。,1,7,0.46360766887664795
地摊货水平的包装，很受打击,7,4,0.5834958553314209
发货很快，物流给力！在苹果和这个中间犹豫不决。考虑之后还是支持国货，支持京东！还流畅，很薄。好评吧！,1,3,0.5107438564300537
很好很好哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,3,1,0.31254899501800537
